Type,Number of Rooms,Number of Bathrooms,Area (sqft),Amenities Distance Avg (km),Parking Spaces,Age (years),Location,Crime Rate,Lower Status Population,Avg People in Building,Rent Price
Flat,4,3,994.31,0.6544,1,20,Greater Noida,0.64,9.93,44.737,48817.10292
Flat,3,1,726.556,1.9993,0,15.7,Noida,0.2,6.99,48.5388,33211.4497
PG,1,1,214.593,6.7735,2,12.3,Mayur Vihar,0.08,6.37,5.4286,15848.1625
PG,1,1,157.307,12.1827,2,9.2,Faridabad,0.96,7.63,15.909,14803.69724
Flat,3,3,766.668,10.026,1,3.4,Gurgaon,1.65,0.29,59.7306,43089.37623
PG,1,1,214.701,12.072,1,22.7,Vasant Kunj,0.89,8.46,29.0505,12396.42346
Flat,2,2,505.65,3.987,0,7.2,Saket,0.34,4.05,40.1512,28080.54514
Flat,4,2,1002.315,1.5081,1,24.6,Mayur Vihar,0.28,9.2,58.7293,47784.69363
Flat,3,2,808.955,1.555,1,18.3,Dwarka,1.04,2.87,58.7214,40226.31148
PG,1,1,102.92,14.324,0,1.1,Mayur Vihar,1.21,9.58,58.9575,10689.27082
Flat,3,1,430.164,8.0668,2,17.4,Vasant Kunj,1.51,6.68,48.3131,28366.02972
Flat,3,3,883.443,13.9645,2,19,Vasant Kunj,1.7,2.57,34.4746,42320.90876
Flat,3,2,848.894,10.6486,0,24.8,Gurgaon,0.6,7.31,14.469,37583.91862
Flat,4,3,1008.279,10.8732,2,21.1,Mayur Vihar,1.91,4.81,31.2284,49159.1574
PG,1,1,226.123,2.3418,2,23.9,Vasant Kunj,1.07,3.54,54.3793,17629.29139
Flat,4,2,1081.041,3.3776,2,0.1,Vasant Kunj,1.93,3.77,9.6179,52048.81517
Flat,4,1,692.7,14.0653,2,7.9,Gurgaon,0.29,4.34,52.8713,44309.01694
PG,1,1,155.446,6.0801,1,0.5,Mayur Vihar,0.03,8.48,55.5003,16073.74932
Flat,2,2,333.838,1.1211,1,8.5,Greater Noida,1.58,5.58,38.7014,25021.93712
Flat,3,1,694.977,14.7909,0,14.6,Dwarka,1.81,3.12,49.8907,30459.45577
Flat,1,1,220.659,1.7692,2,16,Vasant Kunj,1.17,6.91,52.774,16042.67089
Flat,1,1,219.036,3.0369,1,21.5,Vasant Kunj,0.73,9.24,14.5386,12549.05334
Flat,2,2,359.019,6.1551,0,18.8,Faridabad,1.35,3.44,37.1431,22135.95642
PG,1,1,216.186,14.0836,0,17.7,New Delhi,1.4,4.65,4.6019,12392.69181
PG,1,1,189.496,4.0344,0,0.9,Faridabad,0.43,7.1,42.2215,13435.9184
PG,1,1,203.532,0.7427,0,9.6,Mayur Vihar,0.91,4.25,5.2576,13630.90994
Flat,3,1,747.322,8.6329,2,6.6,Greater Noida,1.14,4.19,40.611,37770.22622
Flat,1,1,296.517,0.1181,0,22.3,Greater Noida,0.03,4.74,10.5887,14640.3597
Flat,1,1,248.336,10.325,0,16.7,Faridabad,1.6,7.2,37.5567,11696.32919
Flat,1,1,124.13,6.5745,2,10.2,Saket,1.06,2.06,32.5124,15255.82437
PG,1,1,123.233,2.3181,1,14.1,Mayur Vihar,0.04,1.82,7.6141,13344.52359
Flat,1,1,170.657,9.6453,0,19.3,Vasant Kunj,1.66,8.49,54.6127,10663.00953
PG,1,1,230.446,5.8867,0,3.1,Greater Noida,0.82,1.7,37.5181,14829.07325
PG,1,1,191.221,10.6381,1,24.1,Greater Noida,1.77,9.85,44.5038,11854.78446
Flat,2,2,326.399,3.7646,0,21.6,Noida,0.21,3.13,43.793,23085.60981
Flat,1,1,236.453,6.5599,2,4.7,Noida,0.46,8.13,52.5149,18227.77111
Flat,3,3,392.283,12.7895,1,17.1,Dwarka,0.33,1.64,37.2131,32297.25985
Flat,3,2,831.718,4.4675,2,8.4,Gurgaon,0.42,4.69,13.5101,45248.85073
Flat,3,1,388.285,11.1679,2,2.1,Gurgaon,0.24,6.69,49.2584,32650.45466
Flat,1,1,271.685,7.9492,2,3.1,Saket,0.02,4,44.3257,20358.49985
Flat,4,4,824.244,6.1149,1,15.1,Noida,1.82,9.97,2.387,45258.96114
PG,1,1,143.794,13.3867,2,13.7,Dwarka,0.32,8.72,25.0697,13318.48794
Flat,1,1,189.421,1.7082,1,12.9,Gurgaon,1.82,2.05,1.6414,14799.27907
Flat,3,1,500.324,7.4453,1,1.1,Vasant Kunj,0.71,5.87,37.7415,31075.72273
Flat,4,4,948.799,0.8906,0,24.6,Gurgaon,0.49,6.68,2.2249,48953.14296
Flat,1,1,127.125,6.8448,0,12.5,Greater Noida,0.56,6.87,18.0221,9634.861252
Flat,1,1,189.135,12.1212,0,5.5,Dwarka,1.26,5.06,7.5804,10812.7665
Flat,3,3,516.498,3.3081,2,13.7,Gurgaon,1.97,1.55,52.3753,38738.33485
PG,1,1,126.034,2.0204,2,15.2,Saket,0.5,9.03,29.3115,14373.31673
Flat,2,1,406.037,5.9832,0,23.4,Dwarka,1.55,1.24,55.7614,20311.22634
Flat,1,1,174.159,11.6438,2,21.5,Dwarka,1.62,0.99,2.4132,14111.69624
Flat,1,1,120.883,0.5746,0,7.1,Noida,1.62,9.92,28.5235,10429.12371
Flat,2,2,416.819,4.3173,2,13.5,Greater Noida,1.25,5.78,42.1815,28091.44213
Flat,2,1,359.399,10.48,1,9.5,Noida,1.82,2.28,51.8298,22151.05083
Flat,1,1,122.244,3.1515,2,17.1,Greater Noida,0.48,6.78,38.8747,14176.61749
Flat,3,2,537.299,11.3274,2,20.7,Greater Noida,0.73,3.87,22.2021,33697.23705
Flat,4,3,1189.26,2.0173,1,17.9,New Delhi,1.58,8.18,22.0243,61258.49494
PG,1,1,147.14,1.5289,0,21.8,New Delhi,0.27,3.32,43.4978,13028.79675
Flat,1,1,258.068,7.0659,1,19.9,New Delhi,0.56,9.49,11.7268,15437.83417
Flat,2,2,397.7,8.443,0,2,New Delhi,0.04,6.75,12.0755,28092.24672
Flat,3,2,382.909,14.6007,0,16.2,New Delhi,0.56,7.21,29.3638,28561.11766
Flat,1,1,264.771,1.5202,0,7.6,Faridabad,1.82,5.04,4.8108,12968.27806
PG,1,1,153.464,4.6902,2,11.2,Dwarka,0.17,4,23.6636,17051.34104
Flat,4,3,1048.986,6.9102,2,10.9,Mayur Vihar,1.47,1.33,59.5331,52784.89727
Flat,2,1,241.013,6.1134,1,8.8,New Delhi,1.72,6.43,26.6064,21016.50092
Flat,3,2,595.921,12.304,0,16.2,Gurgaon,0.24,3.51,32.4134,34591.12783
Flat,3,1,419.404,4.5435,0,5.3,Faridabad,1.04,5.49,48.8234,26682.29715
PG,1,1,170.974,9.6728,2,15.6,Dwarka,0.06,4.24,50.5262,16813.0021
Flat,1,1,192.739,1.867,2,19.5,Gurgaon,0.39,8.95,20.2188,15821.44663
Flat,1,1,196.756,5.2421,0,21.1,Vasant Kunj,1.4,2.7,48.8049,12529.70605
Flat,1,1,263.335,7.899,1,22.9,Dwarka,1.17,8.36,31.6981,13326.76476
Flat,4,2,1198.946,11.4504,2,3.9,Faridabad,1.64,2.08,22.6044,54829.33681
PG,1,1,222.69,6.8981,0,19.7,Mayur Vihar,0.3,4.24,50.6335,12943.19884
Flat,3,1,871.734,1.2841,0,18,Greater Noida,1.61,3.24,12.4,34845.19849
PG,1,1,243.585,14.6948,0,5.1,Greater Noida,2,4,33.9017,13426.45625
Flat,1,1,185.888,0.6457,0,20.6,Noida,0.14,8.4,59.7428,11787.43123
Flat,1,1,283.364,7.5964,1,10.6,New Delhi,1.87,2.62,17.8006,17424.95093
PG,1,1,191.641,0.739,2,21.6,Saket,0.67,9.5,45.7225,14665.64564
PG,1,1,235.576,1.3863,2,9.3,Mayur Vihar,1.4,5.83,58.2565,17034.51915
Flat,1,1,237.127,13.0687,0,24.3,Greater Noida,0.21,4.44,55.3383,13716.35856
Flat,3,3,840.283,14.6256,0,23.6,Dwarka,0.87,1.92,3.3039,36756.24997
PG,1,1,208.292,14.9747,1,20.8,New Delhi,1.86,0.57,24.0564,13482.79462
Flat,2,2,520.804,1.564,0,7.4,Noida,0.35,7.68,20.948,26165.97015
Flat,1,1,251.936,5.844,0,13,Mayur Vihar,1.22,8.41,48.0336,13413.56861
Flat,3,2,478.289,1.931,0,15.6,Dwarka,1.1,3.97,5.1509,29252.76817
Flat,1,1,263.725,14.5698,0,10.8,Saket,0.45,8.41,56.6388,13908.80939
Flat,4,3,757.741,11.4639,1,16.3,Saket,0.62,0.03,9.5541,43760.90285
Flat,1,1,277.322,2.8428,0,19.7,Dwarka,0.8,4.86,31.6541,13484.15293
Flat,1,1,128.842,2.3248,0,10.8,Mayur Vihar,0.37,2.36,4.5116,11431.95418
Flat,1,1,128.633,4.0349,2,17.9,Vasant Kunj,0.49,3.4,1.2328,14050.80888
Flat,4,1,503.458,7.5116,0,14.7,Greater Noida,0.68,4.38,10.9657,31714.49196
Flat,1,1,154.669,8.8148,1,23.5,Greater Noida,0.44,8.29,32.5052,11154.15576
PG,1,1,212.455,13.3031,0,17.3,Mayur Vihar,0.6,5.68,15.7153,10381.09339
Flat,4,4,1066.349,4.9525,2,0.9,Noida,0.13,9.43,12.9936,56361.41306
Flat,3,1,420.851,5.4098,2,20.3,Greater Noida,0.99,8.64,24.1578,29499.88384
PG,1,1,242.128,7.459,2,12.3,Gurgaon,1.49,5,55.167,17229.75061
PG,1,1,129.219,4.1672,1,8.2,Greater Noida,0.26,4.18,13.3703,14807.6041
Flat,1,1,230.605,2.9404,1,13.8,Mayur Vihar,1.63,0.34,22.8803,15047.27306
Flat,3,2,758.649,7.4624,1,23.1,Gurgaon,1.59,7.88,4.5385,37222.49129
PG,1,1,211.781,11.1818,0,20.9,Dwarka,1.53,1.08,16.9191,10402.36678
Flat,3,1,571.649,7.9973,0,10.5,Mayur Vihar,1.43,1.34,19.3,28997.38105
Flat,4,1,632.099,7.6876,0,0.2,Greater Noida,0.23,6.16,2.2983,36400.1779
Flat,3,3,672.7,9.2455,1,12.3,Mayur Vihar,0.74,8.48,44.7555,37125.89146
Flat,2,2,249.771,10.1742,2,10.9,Vasant Kunj,0.49,9.93,21.0219,22434.14561
Flat,2,1,581.423,5.8149,1,1.7,Mayur Vihar,0.84,3.99,23.8562,27837.1461
Flat,2,2,356.398,7.4714,0,5.6,Mayur Vihar,1.13,6.2,29.8649,23280.63498
Flat,1,1,286.241,1.0103,2,17.2,Dwarka,0.93,1.22,34.8885,19072.31833
Flat,2,2,455.78,14.1085,0,16.3,Gurgaon,1.43,8.37,25.5705,23913.46818
Flat,1,1,282.224,2.7956,2,5.2,Mayur Vihar,0.96,9.53,59.9814,18360.2251
Flat,3,3,759.66,13.6549,0,2.5,Vasant Kunj,0.31,3.12,59.7284,39750.06935
Flat,2,1,322.707,7.7882,1,9.4,Gurgaon,1.32,8.95,54.8853,22744.03142
PG,1,1,232.971,11.3352,1,15,Vasant Kunj,0.19,0.7,49.7525,16365.83537
Flat,3,1,432.869,14.8255,1,2.8,Mayur Vihar,1.03,3.72,22.5747,28044.69398
Flat,4,3,878.24,0.2098,2,17,Vasant Kunj,1.55,7.79,51.9464,48753.10716
Flat,4,1,741.391,6.9693,2,14.7,Dwarka,0.7,2.97,54.8784,43116.55038
Flat,2,1,362.574,14.0983,0,12.1,Noida,1.55,7.53,51.4878,18774.21375
Flat,1,1,226.317,5.8288,2,4.6,Vasant Kunj,1.57,3.55,53.7603,17955.51515
Flat,1,1,206.109,3.9011,1,3.7,New Delhi,1.98,4.32,58.2885,17127.18021
PG,1,1,102.512,13.7936,1,9,Vasant Kunj,1.09,5.8,55.4809,11281.82759
PG,1,1,181.343,1.6841,0,5.6,Dwarka,0.05,7.2,57.5941,14810.7715
Flat,3,2,471.226,2.1241,2,23.3,New Delhi,1.3,4.08,51.3892,37040.06998
Flat,3,1,416.327,14.947,2,9,Mayur Vihar,1.31,0.82,32.4289,29310.81249
Flat,3,1,602.061,4.2737,1,23.4,Dwarka,0.75,6.98,12.8962,30435.03844
Flat,3,2,843.106,6.1456,2,21,Saket,0.29,2.18,44.4995,43163.79499
Flat,1,1,256.269,8.8741,1,19.2,Mayur Vihar,1.22,0.4,43.4121,15238.74639
Flat,3,2,652.291,5.3463,0,22.6,Dwarka,1.58,4.12,17.6654,31476.65105
Flat,1,1,127.179,9.7303,0,6.2,New Delhi,0.19,7.41,19.0598,11976.88716
Flat,3,3,536.017,10.6588,1,13.8,Vasant Kunj,1.72,3.23,4.1154,32628.66075
PG,1,1,128.493,8.4139,1,22.2,Gurgaon,1.25,9.58,48.1802,11720.91993
Flat,2,1,331.578,7.6298,2,7.2,Gurgaon,0.89,9.2,36.6254,24878.99989
Flat,2,1,564.933,1.7596,0,7.1,Gurgaon,0.34,1.3,48.6864,30155.07569
PG,1,1,130.928,12.8987,1,10.2,Noida,1.09,6.75,35.3243,12425.93077
Flat,4,2,528.645,5.3949,0,24.9,Greater Noida,0.3,1.8,3.7189,34809.42801
Flat,2,2,588.996,5.8857,0,15.7,Dwarka,0.87,1.84,42.653,27330.63068
PG,1,1,154.7,0.5575,2,2.1,New Delhi,1.08,4.39,7.3535,16657.47423
Flat,3,1,667.783,2.4629,0,18.5,Noida,0.69,4.1,25.9651,32270.79733
PG,1,1,139.9,9.3846,0,22,Dwarka,0.09,2.6,27.6859,11934.27093
Flat,3,2,594.49,6.6511,1,6.9,Dwarka,0.88,4.73,37.8636,34660.68827
Flat,4,1,1063.302,3.2349,2,11,Greater Noida,0.08,7.95,34.2305,49463.2562
Flat,4,2,856.825,14.5264,2,1,Saket,0.59,2.52,30.8847,48173.92238
Flat,4,4,969.047,2.4904,1,11.8,New Delhi,0.93,6.28,32.0664,59353.181
PG,1,1,199.568,9.3242,2,2.4,Dwarka,1.86,9.74,8.7854,14691.69333
Flat,2,2,565.254,6.5822,2,9.4,Saket,0.86,9.84,42.8809,30938.10368
Flat,3,1,591.445,0.1666,2,5.1,Gurgaon,0.26,5.97,22.0899,37160.35172
PG,1,1,160.236,10.2559,1,1.2,Mayur Vihar,1.76,7.75,15.1438,12584.02726
PG,1,1,220.395,0.7084,2,2.7,Noida,0.2,9.77,28.3093,18471.42842
PG,1,1,249.184,11.4138,2,21.1,Gurgaon,1.83,5.26,11.3359,16274.29455
Flat,1,1,172.046,14.4015,1,0.8,New Delhi,0.52,2.26,22.3903,17031.80542
PG,1,1,147.674,9.1984,0,24.1,Gurgaon,1.03,2.78,29.1522,11160.96103
PG,1,1,115.278,13.6561,2,6,Greater Noida,1.16,6.35,1.203,13744.80819
Flat,1,1,129.326,8.5007,2,8.8,Saket,0.6,9.77,57.897,15065.82308
PG,1,1,136.81,0.5397,2,2.8,Gurgaon,0.92,7.52,25.7497,16632.87465
PG,1,1,149.112,8.1189,1,0.3,Faridabad,0.57,9.68,35.7852,13242.62364
Flat,4,2,673.676,13.7499,2,14.6,Dwarka,0.84,5.76,24.5919,41446.30166
PG,1,1,225.629,8.8994,1,1.9,New Delhi,1.99,4.68,13.5486,15147.77596
Flat,2,1,533.704,10.1601,2,20.9,Gurgaon,1.36,7.45,27.0484,27297.20285
Flat,4,1,846.994,14.3054,1,22.2,New Delhi,0.03,2.26,24.802,48348.71363
Flat,3,2,453.303,12.6964,0,14.3,Saket,0.7,8.12,43.746,28922.92761
Flat,2,1,445.079,6.0681,0,19.1,Gurgaon,0.73,9.77,53.8362,21775.58468
Flat,4,3,1129.811,7.0776,0,4.9,Mayur Vihar,0.5,0.12,58.2426,53487.99937
Flat,4,3,1158.84,3.7546,0,7,Faridabad,1.39,6.17,54.8294,52635.69419
Flat,3,1,717.756,14.4062,1,0.4,Mayur Vihar,0.47,7.05,45.0986,34738.02049
Flat,1,1,154.009,11.0153,1,19,Dwarka,0.96,9.49,4.6268,10325.00682
Flat,2,2,363.635,5.6468,1,13.4,Mayur Vihar,1.91,6.52,30.5244,23110.63511
Flat,2,1,465.695,12.3269,0,19,Vasant Kunj,1.81,6.52,20.0619,20085.97983
Flat,2,2,435.145,10.8941,2,24.2,Faridabad,0.41,8.44,31.1652,27167.16254
Flat,1,1,242.678,13.0436,2,11.8,Mayur Vihar,0.56,4.17,45.1649,18032.35908
Flat,1,1,126.646,6.5088,0,14.2,Saket,0.39,3.37,32.614,11659.96439
PG,1,1,185.805,11.2938,2,21.5,Greater Noida,0.82,2.66,4.7667,14919.98579
Flat,4,4,865.665,8.647,1,19.9,New Delhi,0.19,9.13,54.1745,54813.94134
Flat,1,1,218.313,3.9756,2,5.5,Noida,1.29,9.53,26.5985,16041.95982
PG,1,1,106.246,7.6347,2,14.8,Gurgaon,0.04,2.92,37.0825,15195.89915
PG,1,1,221.891,12.7484,1,9.1,Mayur Vihar,1.24,5.64,20.8808,14570.59951
Flat,3,2,886.18,6.1222,0,0,Gurgaon,0.56,7.94,44.3309,42286.82768
Flat,4,2,989.134,3.0605,2,24.8,Vasant Kunj,0.98,1.83,2.5531,47278.90482
Flat,2,2,447.298,9.2677,1,3.7,Noida,0.54,9.49,57.2836,27493.12045
Flat,1,1,153.012,7.292,2,15.6,Mayur Vihar,1.87,0.44,31.4928,14206.53552
Flat,1,1,250.963,12.224,0,3.5,Gurgaon,0.5,3.91,17.1203,15829.33969
PG,1,1,209.281,14.1425,2,10.9,Gurgaon,1.01,5.1,20.1574,15421.74883
Flat,4,3,627.977,12.3326,2,24.8,New Delhi,0.04,2.37,56.0178,49048.10959
Flat,1,1,275.674,2.6159,1,9.8,New Delhi,1.32,7.72,3.9633,17015.91992
Flat,3,1,896.827,13.582,2,8.1,Saket,1.37,2.52,55.8987,41002.78096
Flat,1,1,199.381,9.0767,2,4.9,Faridabad,1.98,8.08,56.774,15424.50896
PG,1,1,191.334,10.7335,2,8.7,Gurgaon,1.51,9.72,29.2765,15947.32034
Flat,1,1,210.938,5.5381,2,14.4,Dwarka,1.34,7.92,27.6606,14834.10018
PG,1,1,155.143,5.5457,1,17.7,Dwarka,1.41,7.61,33.5055,11565.21158
PG,1,1,172.849,4.6439,1,4.2,Gurgaon,1.19,2.35,41.0691,14964.71696
Flat,1,1,212.344,2.2916,2,4.3,Vasant Kunj,0.12,9.27,2.8133,16602.63683
PG,1,1,188.978,0.983,1,8,Noida,1.53,3.69,11.491,14288.97112
Flat,2,2,377.122,0.4835,0,4.5,Dwarka,0.93,8.52,23.0234,22444.68518
Flat,3,2,471.141,14.199,1,23.7,Gurgaon,1.61,0.35,8.3943,29643.01154
Flat,2,2,394.076,12.4593,2,20.7,Noida,1.15,9.14,32.6,24641.96963
PG,1,1,217.423,5.0931,1,4.8,Gurgaon,0.6,6.45,50.4545,17344.02164
Flat,1,1,287.133,13.3014,0,22.8,Greater Noida,1.8,1.89,22.0741,11962.80599
Flat,2,1,470.852,8.8827,0,12.1,Noida,1.25,9.96,36.5994,22184.7672
Flat,2,1,572.303,3.3073,1,24.6,Gurgaon,1.57,7.68,4.4923,26963.47028
Flat,3,3,579.896,4.4452,0,16.1,Gurgaon,1.81,2.66,23.3792,34296.67146
PG,1,1,223.265,7.7736,1,0.5,Gurgaon,0.44,2.15,57.4507,18156.37982
Flat,2,2,575.61,3.8238,2,17.2,Vasant Kunj,0.43,8.79,16.9093,29503.88768
PG,1,1,206.061,9.2356,2,1.1,Faridabad,1.83,3.49,5.3605,15353.01339
Flat,4,2,939.878,11.1941,2,22.2,Faridabad,0.51,8.38,15.6368,45459.19979
PG,1,1,224.726,6.2636,0,10.9,Faridabad,0.82,7.76,57.3082,13376.33654
Flat,3,3,726.632,2.7884,2,3.6,Greater Noida,1.98,3.98,23.3322,40849.07493
Flat,2,1,410.805,10.3805,0,9.8,New Delhi,0.31,0.73,2.2036,25589.77791
Flat,3,3,503.404,3.7839,1,4.9,Dwarka,0.05,8.48,12.5493,34005.41678
PG,1,1,149.49,13.7897,2,13.5,Noida,1.95,2.64,47.183,15083.13403
Flat,1,1,281.5,8.1998,1,13.1,Gurgaon,0.22,4.34,19.2869,17381.90091
PG,1,1,154.657,6.4363,0,18.2,Saket,0.79,8,54.6972,11315.61573
Flat,4,2,1049.279,12.9018,1,16,Greater Noida,1.28,1.27,5.8102,47904.78683
Flat,1,1,159.662,12.4988,2,21,Mayur Vihar,0.72,3.72,58.2075,14442.57503
Flat,3,2,671.935,7.4713,0,18.9,New Delhi,0.95,1.4,59.3089,39008.19186
PG,1,1,206.374,1.3628,0,21,New Delhi,1.52,1.06,22.4326,14514.54025
Flat,1,1,173.648,6.8408,2,19.4,Saket,1.11,3.95,51.5106,14850.04868
PG,1,1,129.793,11.3931,0,13.2,Mayur Vihar,1.81,5.33,51.6488,9380.553532
PG,1,1,231.2,12.2636,1,15.4,Greater Noida,0.07,6.34,5.0005,14281.74108
PG,1,1,189.65,4.3123,0,14.6,Faridabad,1.67,2.1,16.5554,11440.44534
Flat,1,1,211.43,12.8071,0,8.6,Faridabad,1.97,5.13,10.9605,11491.52591
Flat,4,2,1192.673,4.4649,0,15.1,Mayur Vihar,1.08,6.67,52.4893,49979.09181
PG,1,1,140.48,9.6256,1,20.9,Faridabad,0.41,7.6,28.7449,11009.22366
Flat,3,3,496.873,6.3676,2,18.8,Dwarka,0.66,7.48,13.5031,34538.70851
Flat,2,2,570.897,7.0209,0,22.6,Gurgaon,1.46,1.63,4.4688,26723.94045
Flat,4,1,969.39,14.6053,2,23.2,Mayur Vihar,0.69,8.19,20.5797,43988.20575
PG,1,1,217.822,13.7413,2,21.3,New Delhi,1.43,4.75,19.5766,15792.79664
PG,1,1,126.488,9.2219,1,11.8,Dwarka,1.3,4.62,59.1806,12898.54267
Flat,2,1,465.505,12.4934,0,18.4,Gurgaon,0.4,5.33,49.6494,24767.4007
Flat,1,1,242.346,13.1877,2,13.8,New Delhi,0.48,9.62,21.3006,17935.04619
Flat,3,3,420.086,0.4951,0,21.6,Greater Noida,0.47,7.97,30.3138,30261.58611
Flat,1,1,216.969,13.963,2,18.7,Mayur Vihar,0.69,7.84,23.6003,14640.50129
Flat,3,2,557.584,14.5711,0,9.9,Saket,1.22,1.91,54.461,31711.40559
Flat,2,1,246.053,9.6738,0,20.9,Vasant Kunj,0.47,4.44,34.4184,18212.57936
Flat,3,2,636.952,1.0914,2,4.5,Saket,1.63,9.95,22.4622,35720.11972
Flat,4,1,1025.55,13.8387,1,3.2,Vasant Kunj,0.06,6.78,59.4158,47658.21282
PG,1,1,169.186,11.4259,0,9.2,New Delhi,0.21,4.02,35.4169,13482.94214
PG,1,1,227.775,10.3068,1,3.2,Gurgaon,1.34,3.59,2.2894,15936.8648
PG,1,1,198.166,11.6218,0,16.8,New Delhi,1.16,1.12,50.3565,14502.33092
Flat,3,3,427.001,1.0576,1,2.5,New Delhi,0.46,0.99,47.8588,39950.86695
Flat,2,1,329.489,14.1903,0,7.6,New Delhi,0.94,5.89,4.3568,20887.87366
PG,1,1,160.181,10.238,1,21,Dwarka,0.72,8.46,25.795,10929.64589
Flat,4,1,818.252,0.5739,2,12.9,Gurgaon,1.64,8.95,3.4345,45069.12697
Flat,3,1,691.194,6.191,2,12.9,Mayur Vihar,1.03,0.23,32.121,37464.27837
Flat,3,3,529.446,0.8628,1,7.8,Saket,1.85,8.16,39.1708,33392.27959
PG,1,1,245.992,5.0874,1,6.6,Dwarka,1.18,2.96,49.2774,17052.04315
PG,1,1,241.201,5.1554,1,6.9,Saket,0.99,6.57,49.4359,16270.3758
Flat,3,1,835.19,5.3852,2,22,Mayur Vihar,0.91,2.99,36.5487,39832.19468
Flat,4,4,1170.195,5.2309,0,11.6,Vasant Kunj,0.01,4.86,58.8377,54915.8722
PG,1,1,239.554,10.1186,0,22.5,Faridabad,1.73,8.2,43.8483,11533.25536
Flat,4,2,764.856,3.1866,1,17.4,Dwarka,1.1,9.5,59.599,41204.13512
Flat,1,1,292.19,13.8653,1,0.3,Saket,0.28,6.51,10.2916,17209.21655
PG,1,1,111.039,3.2784,2,5.4,Saket,0.1,7.49,11.7067,15009.73337
Flat,3,1,793.658,13.5092,2,19.1,Greater Noida,0.22,1.11,8.7877,38779.86588
PG,1,1,118.81,4.7915,2,17.1,Greater Noida,0.88,0.39,26.1632,15584.31141
PG,1,1,174.697,5.2417,2,12.5,Noida,0.61,4.71,56.3767,17132.65499
Flat,4,2,976.294,10.81,0,16.7,Faridabad,1.33,6.84,36.5358,43395.68394
Flat,1,1,261.525,14.9024,2,11.2,Vasant Kunj,1.6,3.82,20.6342,15323.25125
PG,1,1,118.737,0.5981,0,12.5,Vasant Kunj,1.54,5.18,39.2053,10834.53559
PG,1,1,100.8,3.238,0,22.6,Faridabad,0.14,6.94,52.9709,10854.29195
Flat,2,1,311.367,11.0086,1,22.6,Noida,0.07,1.1,22.9088,22259.21067
Flat,1,1,288.952,3.5771,2,7.4,New Delhi,1.6,6.89,53.5088,20268.23244
Flat,4,1,1194.263,0.8683,0,16.1,Vasant Kunj,1.02,7.75,39.6395,47015.32821
Flat,2,1,477.142,4.2367,0,14.7,Faridabad,0.5,1.42,30.5138,24799.00811
Flat,4,4,918.492,12.6918,0,19.3,Noida,1.31,0.89,9.8684,45785.25323
Flat,2,1,390.134,12.1295,0,6.4,Vasant Kunj,0.22,3.63,24.2177,22731.48309
Flat,4,2,705.595,12.3908,1,1.5,Noida,1.74,2.62,11.2639,39919.69524
PG,1,1,151.652,5.0395,1,15.7,Faridabad,1.79,3.67,31.4148,12796.78702
Flat,3,1,763.745,0.839,2,12.1,Saket,1.5,7.38,45.2579,37865.24164
Flat,4,2,964.856,6.0691,1,22.6,Dwarka,0.42,6.82,57.4356,45919.88301
PG,1,1,206.189,9.9795,2,11.4,New Delhi,0.35,6.21,6.4438,17960.00787
Flat,1,1,142.577,8.2822,2,16.9,Saket,1.64,7.93,6.1349,12717.51701
Flat,1,1,222.157,0.6079,1,23.6,Mayur Vihar,0.56,9.3,43.3369,13733.04475
Flat,2,2,400.657,0.4766,1,4.5,Dwarka,0.37,2.72,21.7485,27355.58579
Flat,1,1,152.986,9.1669,2,5,Faridabad,0.15,1.72,3.8334,15646.24834
PG,1,1,150.783,2.5411,0,18.8,Gurgaon,0.33,9.3,58.7738,12299.89817
PG,1,1,249.371,11.2277,2,7.4,New Delhi,0.98,2.33,36.8813,20379.97296
Flat,2,1,573.439,13.3817,0,2,Faridabad,0.21,5.32,4.0157,25153.22033
Flat,4,1,723.486,8.4905,1,16.1,Noida,1.21,4.29,30.44,39304.04637
Flat,1,1,218.868,1.8608,1,1.3,Noida,0.55,8.67,13.3217,16005.78596
Flat,3,3,419.972,3.8625,0,13.2,Faridabad,0.85,8.22,45.5091,29670.02477
Flat,1,1,240.824,8.9249,0,9.2,Faridabad,1.08,2.21,12.0497,13159.34937
PG,1,1,107.289,6.5975,2,3.8,New Delhi,1.76,1.81,15.4694,15432.4188
Flat,3,1,707.312,10.6371,2,6.2,Saket,0.69,8.84,4.2683,36264.74121
Flat,1,1,153.399,14.2618,0,12.6,Dwarka,0.75,3.59,40.6337,12172.37625
PG,1,1,176.974,4.245,0,8.1,Saket,1.03,2.14,22.8363,13704.41762
PG,1,1,230.432,2.6887,1,1.4,Vasant Kunj,0.04,2.21,48.932,18840.51603
Flat,1,1,279.536,9.3392,0,17.6,Mayur Vihar,0.8,4.86,13.0859,12941.33896
PG,1,1,246.024,10.1334,0,15.4,Dwarka,0.64,9.51,27.16,12786.97097
Flat,1,1,251.85,0.5117,2,16.4,Noida,0.23,9.58,15.1333,17712.07483
PG,1,1,248.756,12.884,1,2.5,New Delhi,1.27,0.72,49.3077,18719.90835
Flat,1,1,139.481,14.8758,2,14.5,Faridabad,0.27,0.81,7.7118,15868.95216
PG,1,1,212.575,4.2365,2,22.3,Greater Noida,1.32,8.69,5.8066,13688.72397
Flat,3,1,693.288,12.7245,1,10.2,Gurgaon,1.41,4.9,14.9053,35121.90557
